allusion	variation_list
苏武（刘彻，苏武）	苏武节;羝乳;白发丹心;啮雪;雪窖冰天;属国餐毡;节旄落尽;牧羝人;啮毡;海上看羊;十九年归;残毡拥雪;汉节;看羊属国;雪窖羝羊;北海朱旄;餐毛;啖雪龙庭;窖里雪毡;牧羊臣;驱羊旧节;乳羝属国;塞北驱羊;苏君;苏郎卧处;苏郎有节;苏武争禁十九秋;阴山海上窖群中;牧羊拢漠;苏卿牧羝;苏武在天山;握节;握雪餐
织女（武丁，牛郎，织女）	鹊桥;天上佳期;会双星;牵牛会;银汉渡;帝子桥;飞桥驾鹊;飞向银河;耕慵织懒;怜飞鹊;七夕女;泣分河;桥横鹊;鹊误仙盟;天女;天上弄机人;星解聚;银河响幽咽;绛河度牵牛;灵匹;天孙;星度;野鹊并影
阮郎（刘晨，阮肇）	桃源洞;饭胡麻;桃花洞口;刘晨;阮肇;刘郎;天台约;流水天台;晨肇;刘阮入天台;阮洞;仙洞客;迷路为花开;阮家;天台桃径;花洞鱼艇;仙源
汨罗（屈原）	沈楚臣;楚魄;灵均泪;湘水魂;汨罗;怀沙;三闾;沈汨;沈湘人;投湘浦;屈平魂怨;屈原沉;投汩;投汨;葬鱼;沉湘;楚江沉魂;湘累
青云路	青云;魏雎张禄
龙门	半死桐;半死龙门树;龙门
济川（傅说，殷高宗）	济巨川;傅舟;川上楫;舟楫
宋玉墙（司马相如，宋玉）	宋玉东邻;登墙;施朱施粉;墙东宋;粉墙偷眼觑;下蔡倡;楚女窥墙;莫把一分增减;墙头岑寂;三年不顾;三年送目;西邻公子;邻墙招;慕宋;太赤;偷窥笑眼;增之太长，减之太短
涸鳞（庄子）	西江水;涸辙鲋;枯鳞;斗水;失水鱼;贷监河粟;枯鱼;泥辙;穷鳞;肆鳞;东溟臣;枯辙;波臣守辙;槁鲍肆;渴一泓;挽西江苏涸辙;委辙;煦辙;庄周贷粟;卧辙
惠休（汤惠休，鲍照）	汤公;休上人;休师;汤师;汤惠休;休公
小山（刘安，王逸）	小山桂;招隐赋;淮南招隐;留人桂;淮南春草赋;淮南旧桂丛;淮阳桂;丛桂招隐;桂枝小山传;小山碧芜春句
鲛人	鲛人珠;鲛丝;泪成珠;卷绡人;泉客泪;海上得绡;鲛工;蛟女绢;鲛宫物;鲛帘;鲛盘千点;冰绡清泪;绡夺烟雾;玉盘进泪
西施（夫差，范蠡，西施）	馆娃宫;浣纱;采香径;苧罗人;名娃金屋;吴宫妃;苧萝;西施;西子
星使（李合）	星辰动;星;驿骑如星;入蜀星;流星汉使尊;星随使者车;星文动九霄;史兴鞍;万里星隋
大风歌（刘邦）	歌大风;守四方;海内风;威加四海;猛士;云飞风起
柏梁	柏梁;柏殿;柏台
巢由（巢父，许由）	巢许;巢居子;上流饮牛人;巢父隐居;牵犊翁;牵犊饮上流
叔夜（嵇康）	嵇叔夜;嵇中散;嵇家;嵇康
珠履（黄歇）	珠履;履明珠;楚客豪华;春申客屦
谢家兴（谢安，谢道韫）	谢雪;咏絮才;堆盐;絮因风;盐絮;吟絮;拟盐;柳絮;道蕴诗;谢女题诗;雪里题诗;谢庭诗咏;盐牵谢女才;谢庭风韵;风絮谢娘;赋雪词;柳花篇;起风飞柳;雪阵春絮乱;咏留飞絮;缘风絮韫;谢氏六出花;谢庭争道絮因风;雪絮彫章;雪夜诗成
岘首（羊祜）	堕泪碑;岘亭;羊公;登临泪;岘首;登岘;望岘沾裳
谢客（谢灵运）	客儿;谢客
卧龙（徐庶，诸葛亮）	卧南阳;葛龙;草庐无人顾
逝川（孔子）	逝者如斯;逝川;阅川;临长川;逝水;逝波;仲尼在川上;临川孔尼叹
河阳（潘岳）	河阳满县花;种桃李;花封贤令尹;花明潘子县;桃李一城春色;栽花潘令
获麟（孔子，鲁哀公）	道穷;伤麟;麟绝;抱麟;悲麟;感麟翁;叹凤嗟麟;仲尼穷;西狩麟;大野麟;鲁郊西狩;麒见处;麟终;麟笔;宣尼袂;嗟麟泣;麟何来哉;麟穷;麟非其时;麟经
越吟（庄舄）	庄舄吟;越讴;越声长苦;病客庄;闻越声;吟生南越思;吟同楚执圭;思越;越宾歌
蓬蒿（张仲蔚，刘龚）	蓬蒿;仲蔚;蒿菜;终岁杜门;孟公不在兹;蒿莱;依蒿篷
青琐	青琐
鸿雁（刘彻，苏武）	书雁;空中书;天涯芳信;信鸿;秋鸿春燕;寄锦书;寄南飞翼;上林消息;雁来音信;云边翼;寄双飞燕;传帛;断鸿难倩;见雁思乡信;漫写羊裙;燕去鸿归;云间一纸书;归鸿无信;裂帛待燕鸿;裂帛附双燕;南雁传尺素;南雁惠佳音;难觅征鸿;认上林欲下;上苑传书;书到雁应还;书归玉塞;书凭燕翼;书因北雁稀;望飞燕;衔来相思字;音信绝南鸿;子卿归信;宾鸿;帛书;愁怀逐归鸿;飞燕归信;归鸿谁寄;过鸿来燕;鸿羽芳信;寄情无雁;借片鸿;空回春雁;凭鸿;塞鸿传书;书系双飞翼;朔燕传书;苏武逢雁;微辞寄归雁;吴鸿传信;系帛;燕翎寄笺;弋雁问消息
东山妓（谢安）	谢妓;安石妓;妓娱安石;安石同乐
康乐（谢灵运）	谢康乐
弃繻（终军）	弃繻;识旧吏;终童
王粲（王粲）	王粲;仲宣
绿珠（石崇，绿珠）	绿珠;堕楼人;金谷妓;坠残红
卫霍（卫青，霍去病）	卫霍;霍骠姚;卫青
杨朱泣（杨朱）	杨朱哀歧;泣路歧;杨公叹;姓杨足泪
荷衣	楚服;荷衣;荷裳
金乌	金鸦;乌;三足;赤鸟;天上乌;虾蟆食月;朱鸟;日中侣;阳鸟
陆沉	陆沉
金张（张安世，许广汉，金日磾，史高）	金张许史;七叶貂
瑶池（周穆王，西王母）	瑶池
潘郎（潘岳）	潘果;掷赠;貌胜潘;潘令舆;窥潘掾;乱果掷行车;儿童抛砖
商歌（宁戚，齐桓公）	白石烂;扣牛角;商声讴;南山白石;叹短衣;商歌;东门牛;南山戚;齐歌;舍牛相齐;长歌叩辕
羲和	羲和
四愁（张衡）	青玉案;锦绣段;平子四愁;貂襜褕;报珠;明珠青玉;金错赠;报君无玉案;金刀绣段;七字当琼浆;珠玑兼绣段;愁心系平子;每人错刀投
仲宣楼（王粲，刘表）	仲宣;王粲登楼;登楚;赋异乡;公子登高赋;王生悲异国;赋因玉阁笔;王粲殊方泪;赋因
傲羲皇（陶潜，伏羲氏，羲和）	北窗羲皇;陶窗;宇宙一北窗;闭门寻羲皇;风期结陶叟;高枕晤羲皇;靖节窗风;陶令塌
九重门	九重;君子门九重
投辖（陈遵）	陈孟公;尚书期;投辖;陈筵;下重关;关门防客走;后阁走穷宾;孟公好客;有井留车;辕车解轮
王孙草	王孙草;芳草不成归
莫愁	卢家少妇;莫愁艇子;嫁卢
沮溺（子路，孔子，桀溺，长沮）	长沮溺;问津;津难问;耦耕;吾非斯人谁与归;沮叟
谢公（谢灵运）	谢公;灵运;谢守
二疏（疏受，疏广）	二疏;疏去;疏氏;父子东归;疏傅;疏广饯;东宫二傅;疏家父子;疏受意;早退不如疏;都门饯;东门帐饮;汉庭疏;东门贤父子;大疏;两疏;殊受辞荣
谷口（郑朴）	子真谷口;岩耕;郑生谷;岩石卧;谷口终身隐;生涯如谷口
成蹊（李广）	桃李蹊;芳菲不为言;蹊为李广;桃阴旧蹊
鸱夷子（范蠡）	鸱夷子;范子名移;鸱夷变姓名
步兵（阮籍）	步兵;阮氏酒;军厨酒;为酒求官
倚门（王孙贾）	门闾望;倚门;慈颜望久
玉人（卫玠，裴楷）	玉山行;羊车;玉人车;裴玉;乘羊入市;夫向羊车觅;聚车看卫玠;倾城看杀;童子驭车;看杀玉车人
愚谷（齐桓公）	谷愚
草玄（扬雄）	草玄;子云玄;白首太玄经;辛苦作太玄;白发翻经;汉阁磷缁;守玄;雄文独玄;子云自守
獬豸（楚文王）	獬豸;戴豸;神羊触;簪豸;拔豸;触豸;豸角
鹡鸰	鹡鸰原上;脊令
君平（严君平，严遵）	君平卖卜;蜀平;严遵;蜀严;严平;严扬;百钱卜肆;卜肆贫;蜀中夫子;严家;卜肆成都;卜肆寂寞;严君开;帘下严
平阳（刘彻，平阳公主，卫子夫）	平阳
鲁连（鲁仲连）	鲁仲连
子猷	子猷
信陵（魏无忌）	信陵;魏公子;无忌
刀州（王浚）	三刀梦;梦益州;益部刀
庾信哀（庾信）	万斛愁;庾兰成;庾信愁赋;江关词赋;兰成词赋;暮年诗赋;子山;兰成憔悴;庾郎憔悴;萧瑟兰成;老去兰成;伤心庾开府;愁损兰成;愁入庾郎句;兰成久旅;惆怅庾公;赋浇愁;庾郎离绪
飞将（李广）	飞将军;醉尉呵;灞陵夜猎;龙城守;灞亭谁畏李将军;耽酒尉;犯夜醉归;轻鞭犯夜;亭逢李广骑;夜行触尉
